"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 29 22:10:50 OMST 2025","Sun Jun 29 22:10:51 OMST 2025","295","","ru.prakticum.CourierTest","","ru.prakticum.CourierTest","createCourierWithoutPassword","Создание курьера без пароля","Попытка создать курьера без поля пароль. Создание курьера не удалось"
"passed","Sun Jun 29 22:10:52 OMST 2025","Sun Jun 29 22:10:52 OMST 2025","191","","ru.prakticum.OrderCreateTest","","ru.prakticum.OrderCreateTest","orderCreate[Цвет самоката - [GREY]]","Создание заказа","Создание заказа с разными вариантами цветов самоката"
"passed","Sun Jun 29 22:10:51 OMST 2025","Sun Jun 29 22:10:51 OMST 2025","314","","ru.prakticum.CourierTest","","ru.prakticum.CourierTest","createTwoIdenticalCouriers","Создание двух одинаковых курьеров","Попытка создать двух курьеров с одинаковым набором данных. Создание второго курьера должно провалиться"
"passed","Sun Jun 29 22:10:52 OMST 2025","Sun Jun 29 22:10:56 OMST 2025","3925","","ru.prakticum.OrderGetListTest","","ru.prakticum.OrderGetListTest","orderGetList","Получение списка заказов","Получение списка заказов, проверка наличия списка"
"passed","Sun Jun 29 22:10:50 OMST 2025","Sun Jun 29 22:10:50 OMST 2025","321","","ru.prakticum.CourierTest","","ru.prakticum.CourierTest","createCourierWithoutLogin","Создание курьера без логина","Попытка создать курьера без поля login. Создание курьера не удалось"
"passed","Sun Jun 29 22:10:52 OMST 2025","Sun Jun 29 22:10:52 OMST 2025","144","","ru.prakticum.OrderCreateTest","","ru.prakticum.OrderCreateTest","orderCreate[Цвет самоката - null]","Создание заказа","Создание заказа с разными вариантами цветов самоката"
"passed","Sun Jun 29 22:10:49 OMST 2025","Sun Jun 29 22:10:50 OMST 2025","174","","ru.prakticum.CourierIdTest","","ru.prakticum.CourierIdTest","loginCourierWithoutPassword","Авторизация без пароля",""
"passed","Sun Jun 29 22:10:49 OMST 2025","Sun Jun 29 22:10:49 OMST 2025","171","","ru.prakticum.CourierIdTest","","ru.prakticum.CourierIdTest","loginCourierWithWrongPassword","Авторизация с неверным паролем",""
"passed","Sun Jun 29 22:10:48 OMST 2025","Sun Jun 29 22:10:49 OMST 2025","1150","","ru.prakticum.CourierIdTest","","ru.prakticum.CourierIdTest","shouldReturnId","Успешная авторизация курьера",""
"passed","Sun Jun 29 22:10:52 OMST 2025","Sun Jun 29 22:10:52 OMST 2025","171","","ru.prakticum.OrderCreateTest","","ru.prakticum.OrderCreateTest","orderCreate[Цвет самоката - [BLACK]]","Создание заказа","Создание заказа с разными вариантами цветов самоката"
"passed","Sun Jun 29 22:10:49 OMST 2025","Sun Jun 29 22:10:49 OMST 2025","162","","ru.prakticum.CourierIdTest","","ru.prakticum.CourierIdTest","loginCourierWithNonExistingLogin","Авторизация с несуществующим логином",""
"passed","Sun Jun 29 22:10:52 OMST 2025","Sun Jun 29 22:10:52 OMST 2025","149","","ru.prakticum.OrderCreateTest","","ru.prakticum.OrderCreateTest","orderCreate[Цвет самоката - []]","Создание заказа","Создание заказа с разными вариантами цветов самоката"
"passed","Sun Jun 29 22:10:51 OMST 2025","Sun Jun 29 22:10:52 OMST 2025","646","","ru.prakticum.OrderCreateTest","","ru.prakticum.OrderCreateTest","orderCreate[Цвет самоката - [BLACK, GREY]]","Создание заказа","Создание заказа с разными вариантами цветов самоката"
"passed","Sun Jun 29 22:10:50 OMST 2025","Sun Jun 29 22:10:50 OMST 2025","153","","ru.prakticum.CourierTest","","ru.prakticum.CourierTest","shouldReturnOkTrue","Создание нового курьера","Проверяем, что курьера можно создать с валидными данными"
"passed","Sun Jun 29 22:10:49 OMST 2025","Sun Jun 29 22:10:49 OMST 2025","146","","ru.prakticum.CourierIdTest","","ru.prakticum.CourierIdTest","loginCourierWithoutLogin","Авторизация без логина",""
